EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10063631,MISSOURI,1952,March,Tornado,C,CAPE GIRARDEAU,0,0,0,0,25K,0,F2
9991454,FLORIDA,1952,June,Tornado,C,PINELLAS,0,0,0,0,2.5K,0,F1
10104937,PENNSYLVANIA,1952,January,Tornado,C,CRAWFORD,0,0,0,0,250K,0,F2
10104938,PENNSYLVANIA,1952,April,Tornado,C,YORK,4,0,0,0,2.5M,0,F3
10104939,PENNSYLVANIA,1952,April,Tornado,C,DAUPHIN,6,0,0,0,250K,0,F0
10104940,PENNSYLVANIA,1952,April,Tornado,C,MONROE,0,0,0,0,2.5K,0,F1
10104941,PENNSYLVANIA,1952,July,Tornado,C,ERIE,0,0,0,0,2.5K,0,F2
10104942,PENNSYLVANIA,1952,July,Tornado,C,MIFFLIN,4,0,0,0,25K,0,F2
10104943,PENNSYLVANIA,1952,August,Tornado,C,DAUPHIN,0,0,0,0,2.5K,0,F1
10082588,NEW JERSEY,1952,April,Tornado,C,UNION,0,0,0,0,2.5K,0,F1
10082589,NEW JERSEY,1952,August,Tornado,C,BURLINGTON,0,0,0,0,25K,0,F1
10082590,NEW JERSEY,1952,August,Tornado,C,CAPE MAY,0,0,0,0,25K,0,F1
10083092,OHIO,1952,May,Tornado,C,CUYAHOGA,0,0,0,0,25K,0,F1
10099559,OKLAHOMA,1952,July,Tornado,C,ROGERS,0,0,0,0,2.5K,0,F1
10099560,OKLAHOMA,1952,July,Tornado,C,BEAVER,0,0,0,0,25K,0,F1
10099561,OKLAHOMA,1952,August,Tornado,C,LOGAN,0,0,0,0,25K,0,F2
10099750,OKLAHOMA,1952,April,Tornado,C,JACKSON,0,0,0,0,.25K,0,F0
10099751,OKLAHOMA,1952,April,Tornado,C,JACKSON,0,0,0,0,0K,0,F0
10099752,OKLAHOMA,1952,April,Tornado,C,JACKSON,0,0,0,0,0K,0,F0
10099753,OKLAHOMA,1952,April,Tornado,C,BECKHAM,0,0,0,0,0K,0,F1
10099754,OKLAHOMA,1952,April,Tornado,C,ROGER MILLS,0,0,0,0,0K,0,F0
10099755,OKLAHOMA,1952,April,Tornado,C,DEWEY,0,0,0,0,0K,0,F0
10099756,OKLAHOMA,1952,April,Tornado,C,KAY,0,0,0,0,0K,0,F0
10099757,OKLAHOMA,1952,April,Tornado,C,WOODS,0,0,0,0,2.5K,0,F2
10099748,OKLAHOMA,1952,April,Tornado,C,BECKHAM,0,0,0,0,.25K,0,F0
10099749,OKLAHOMA,1952,April,Tornado,C,HARMON,0,0,0,0,25K,0,F1
10099758,OKLAHOMA,1952,May,Tornado,C,GRADY,0,0,0,0,.25K,0,F1
10099759,OKLAHOMA,1952,May,Tornado,C,PAYNE,0,0,0,0,2.5K,0,F1
10099760,OKLAHOMA,1952,May,Tornado,C,KIOWA,0,0,0,0,2.5K,0,F1
10099761,OKLAHOMA,1952,May,Tornado,C,COMANCHE,1,0,0,0,250K,0,F2
10099762,OKLAHOMA,1952,May,Tornado,C,COMANCHE,0,0,0,0,250K,0,F2
10099763,OKLAHOMA,1952,June,Tornado,C,ROGER MILLS,0,0,0,0,2.5K,0,F1
10099764,OKLAHOMA,1952,June,Tornado,C,BLAINE,0,0,0,0,2.5K,0,F1
10099765,OKLAHOMA,1952,June,Tornado,C,ROGER MILLS,0,0,0,0,2.5K,0,F1
10099766,OKLAHOMA,1952,June,Tornado,C,MAJOR,0,0,0,0,.03K,0,F1
10099767,OKLAHOMA,1952,June,Tornado,C,TILLMAN,1,0,0,0,2.5K,0,F2
10099768,OKLAHOMA,1952,July,Tornado,C,CANADIAN,0,0,0,0,0K,0,F1
10121789,TEXAS,1952,April,Tornado,C,TOM GREEN,6,0,0,0,250K,0,F3
10121790,TEXAS,1952,May,Tornado,C,HENDERSON,1,0,0,0,2.5K,0,F0
10121791,TEXAS,1952,May,Tornado,C,TOM GREEN,1,0,0,0,2.5K,0,F1
10121793,TEXAS,1952,August,Tornado,C,YOUNG,0,0,0,0,25K,0,F1
10121794,TEXAS,1952,December,Tornado,C,TRINITY,4,0,0,0,25K,0,F2
10123412,TEXAS,1952,February,Tornado,C,ORANGE,0,0,0,0,25K,0,F2
10123413,TEXAS,1952,March,Tornado,C,DALLAS,0,0,0,0,2.5K,0,F0
10123414,TEXAS,1952,March,Tornado,C,WICHITA,0,0,0,0,25K,0,F1
10123415,TEXAS,1952,March,Tornado,C,PALO PINTO,0,0,0,0,2.5K,0,F0
10123416,TEXAS,1952,April,Tornado,C,GRAYSON,1,0,0,0,25K,0,F2
10123417,TEXAS,1952,April,Tornado,C,HENDERSON,0,0,0,0,2.5K,0,F1
10123418,TEXAS,1952,April,Tornado,C,MCLENNAN,0,0,0,0,25K,0,F4
9982822,ARIZONA,1952,November,Tornado,C,YAVAPAI,0,0,0,0,0K,0,
10075659,NEW YORK,1952,May,Tornado,C,ESSEX,0,0,0,0,25K,0,F2
10076649,NORTH CAROLINA,1952,September,Tornado,C,DARE,0,0,0,0,25K,0,F3
10047286,MISSISSIPPI,1952,February,Tornado,C,MONROE,1,0,0,0,25K,0,F1
10047287,MISSISSIPPI,1952,February,Tornado,C,HANCOCK,2,0,0,0,0K,0,F1
10047288,MISSISSIPPI,1952,March,Tornado,C,MADISON,1,0,0,0,2.5K,0,
10047289,MISSISSIPPI,1952,March,Tornado,C,MARSHALL,24,0,9,0,250K,0,F4
10047290,MISSISSIPPI,1952,July,Tornado,C,COVINGTON,0,0,0,0,25K,0,
10047291,MISSISSIPPI,1952,August,Tornado,C,LAFAYETTE,0,0,0,0,25K,0,F2
10089659,NORTH DAKOTA,1952,June,Tornado,C,GOLDEN VALLEY,0,0,0,0,25K,0,
10089660,NORTH DAKOTA,1952,June,Tornado,C,STARK,0,0,0,0,25K,0,F2
10089661,NORTH DAKOTA,1952,June,Tornado,C,WELLS,1,0,0,0,25K,0,F3
10089662,NORTH DAKOTA,1952,June,Tornado,C,MOUNTRAIL,0,0,0,0,0K,0,
10089663,NORTH DAKOTA,1952,July,Tornado,C,RICHLAND,0,0,0,0,25K,0,F3
10089664,NORTH DAKOTA,1952,July,Tornado,C,MCKENZIE,0,0,0,0,25K,0,F2
10082591,NEW JERSEY,1952,August,Tornado,C,MONMOUTH,0,0,0,0,25K,0,F1
10072246,MONTANA,1952,July,Tornado,C,FALLON,0,0,0,0,250K,0,
10072247,MONTANA,1952,July,Tornado,C,WIBAUX,2,0,1,0,250K,0,F3
10073807,NEBRASKA,1952,August,Tornado,C,CASS,0,0,0,0,250K,0,F4
10073801,NEBRASKA,1952,June,Tornado,C,HOLT,0,0,0,0,2.5K,0,F1
10089665,NORTH DAKOTA,1952,July,Tornado,C,BURLEIGH,25,0,1,0,250K,0,F4
10089666,NORTH DAKOTA,1952,July,Tornado,C,BURLEIGH,1,0,0,0,250K,0,F4
10089667,NORTH DAKOTA,1952,July,Tornado,C,GRAND FORKS,0,0,0,0,2.5K,0,F2
10089668,NORTH DAKOTA,1952,July,Tornado,C,GOLDEN VALLEY,0,0,0,0,2.5K,0,F3
10089669,NORTH DAKOTA,1952,July,Tornado,C,STUTSMAN,0,0,0,0,250K,0,F2
10073802,NEBRASKA,1952,June,Tornado,C,SALINE,0,0,0,0,0K,0,F2
10073803,NEBRASKA,1952,July,Tornado,C,DEUEL,0,0,0,0,0K,0,F1
10073804,NEBRASKA,1952,August,Tornado,C,COLFAX,0,0,0,0,0K,0,F3
10073805,NEBRASKA,1952,August,Tornado,C,BUTLER,1,0,0,0,0K,0,F3
10073806,NEBRASKA,1952,August,Tornado,C,SAUNDERS,20,0,0,0,250K,0,F4
10073797,NEBRASKA,1952,April,Tornado,C,FURNAS,0,0,0,0,0K,0,F1
10073798,NEBRASKA,1952,May,Tornado,C,CHEYENNE,0,0,0,0,0K,0,F1
10073799,NEBRASKA,1952,May,Tornado,C,CHEYENNE,0,0,0,0,0K,0,F1
10073800,NEBRASKA,1952,May,Tornado,C,CHEYENNE,0,0,0,0,0K,0,F0
9983009,ARKANSAS,1952,January,Tornado,C,ARKANSAS,0,0,0,0,25K,0,F1
9983010,ARKANSAS,1952,January,Tornado,C,ARKANSAS,0,0,0,0,25K,0,F1
9983011,ARKANSAS,1952,February,Tornado,C,MISSISSIPPI,5,0,0,0,0K,0,F2
9983012,ARKANSAS,1952,March,Tornado,C,LOGAN,0,0,0,0,.25K,0,F1
9983013,ARKANSAS,1952,March,Tornado,C,HOWARD,9,0,7,0,25K,0,F4
9983014,ARKANSAS,1952,March,Tornado,C,SALINE,0,0,0,0,25K,0,F3
9983015,ARKANSAS,1952,March,Tornado,C,WHITE,325,0,50,0,2.5M,0,F4
9983016,ARKANSAS,1952,March,Tornado,C,FAULKNER,6,0,0,0,25K,0,F2
9983017,ARKANSAS,1952,March,Tornado,C,LONOKE,9,0,9,0,250K,0,F3
9983018,ARKANSAS,1952,March,Tornado,C,LONOKE,6,0,2,0,250K,0,F4
9983019,ARKANSAS,1952,March,Tornado,C,PRAIRIE,5,0,1,0,2.5K,0,
9983020,ARKANSAS,1952,March,Tornado,C,PRAIRIE,15,0,5,0,250K,0,F2
9983035,ARKANSAS,1952,July,Tornado,C,MILLER,0,0,0,0,0K,0,F2
9983036,ARKANSAS,1952,November,Tornado,C,POLK,0,0,0,0,25K,0,F2
9990146,CALIFORNIA,1952,December,Tornado,C,LOS ANGELES,0,0,0,0,0K,0,
9983021,ARKANSAS,1952,March,Tornado,C,WOODRUFF,0,0,0,0,25K,0,F3
9983022,ARKANSAS,1952,March,Tornado,C,WOODRUFF,180,0,29,0,2.5M,0,F4
9983023,ARKANSAS,1952,March,Tornado,C,JACKSON,6,0,0,0,2.5K,0,F3
9983024,ARKANSAS,1952,March,Tornado,C,POINSETT,0,0,0,0,2.5K,0,F3
9983025,ARKANSAS,1952,March,Tornado,C,CROSS,5,0,4,0,250K,0,F4
9983026,ARKANSAS,1952,March,Tornado,C,POINSETT,39,0,2,0,250K,0,F3
9983027,ARKANSAS,1952,March,Tornado,C,POINSETT,5,0,1,0,250K,0,F3
9983028,ARKANSAS,1952,March,Tornado,C,MISSISSIPPI,57,0,1,0,250K,0,F3
9983029,ARKANSAS,1952,March,Tornado,C,MISSISSIPPI,57,0,1,0,250K,0,F3
9983030,ARKANSAS,1952,April,Tornado,C,COLUMBIA,0,0,0,0,.03K,0,F1
9985769,FLORIDA,1952,January,Tornado,C,CALHOUN,3,0,0,0,25K,0,F1
9985770,FLORIDA,1952,January,Tornado,C,LEON,0,0,0,0,25K,0,F2
9985771,FLORIDA,1952,February,Tornado,C,BAY,4,0,0,0,25K,0,F2
9983031,ARKANSAS,1952,April,Tornado,C,INDEPENDENCE,0,0,0,0,2.5K,0,F1
9983032,ARKANSAS,1952,June,Tornado,C,LAWRENCE,0,0,0,0,0K,0,F2
9983033,ARKANSAS,1952,June,Tornado,C,PULASKI,0,0,0,0,0K,0,F0
9983034,ARKANSAS,1952,July,Tornado,C,MILLER,0,0,0,0,25K,0,F2
10047285,MISSISSIPPI,1952,February,Tornado,C,NESHOBA,0,0,0,0,0K,0,F0
10077703,NORTH CAROLINA,1952,April,Tornado,C,WAKE,0,0,0,0,25K,0,F2
10077704,NORTH CAROLINA,1952,May,Tornado,C,BERTIE,6,0,0,0,0K,0,F2
10077705,NORTH CAROLINA,1952,May,Tornado,C,HYDE,2,0,0,0,0K,0,F2
10077706,NORTH CAROLINA,1952,July,Tornado,C,HALIFAX,0,0,0,0,25K,0,F2
10077707,NORTH CAROLINA,1952,August,Tornado,C,STOKES,0,0,0,0,25K,0,F1
10063634,MISSOURI,1952,May,Tornado,C,JACKSON,1,0,0,0,250K,0,F2
10063635,MISSOURI,1952,July,Tornado,C,MONTGOMERY,0,0,0,0,25K,0,F1
10063636,MISSOURI,1952,August,Tornado,C,PETTIS,13,0,1,0,25M,0,F2
10063637,MISSOURI,1952,November,Tornado,C,NODAWAY,2,0,0,0,25K,0,F3
9979436,ALABAMA,1952,March,Tornado,C,PICKENS,6,0,0,0,25K,0,F3
9979437,ALABAMA,1952,March,Tornado,C,MORGAN,50,0,4,0,25K,0,F4
9979438,ALABAMA,1952,April,Tornado,C,MOBILE,2,0,0,0,25K,0,F1
10038923,MARYLAND,1952,April,Tornado,C,CAROLINE,0,0,0,0,.25K,0,F0
10038924,MARYLAND,1952,August,Tornado,C,MONTGOMERY,0,0,0,0,25K,0,F1
9979439,ALABAMA,1952,May,Tornado,C,FAYETTE,0,0,0,0,25K,0,F1
9979440,ALABAMA,1952,May,Tornado,C,FAYETTE,0,0,0,0,25K,0,F1
9979441,ALABAMA,1952,May,Tornado,C,FAYETTE,0,0,0,0,25K,0,F1
10035925,KENTUCKY,1952,March,Tornado,C,LARUE,18,0,0,0,250K,0,F3
10035926,KENTUCKY,1952,December,Tornado,C,DAVIESS,3,0,0,0,0K,0,F3
10035927,KENTUCKY,1952,December,Tornado,C,HANCOCK,0,0,0,0,0K,0,F3
9979429,ALABAMA,1952,January,Tornado,C,TALLAPOOSA,0,0,0,0,2.5K,0,F1
9979430,ALABAMA,1952,February,Tornado,C,TUSCALOOSA,14,0,1,0,25K,0,F3
9979431,ALABAMA,1952,February,Tornado,C,FAYETTE,0,0,0,0,25K,0,F3
9979432,ALABAMA,1952,February,Tornado,C,CULLMAN,3,0,0,0,2.5M,0,F1
9979433,ALABAMA,1952,February,Tornado,C,BLOUNT,3,0,0,0,2.5M,0,F1
9979434,ALABAMA,1952,February,Tornado,C,JEFFERSON,26,0,1,0,250K,0,F3
9979435,ALABAMA,1952,February,Tornado,C,DEKALB,12,0,0,0,0K,0,F3
10038921,MARYLAND,1952,April,Tornado,C,FREDERICK,0,0,0,0,25K,0,F1
10038922,MARYLAND,1952,April,Tornado,C,FREDERICK,1,0,0,0,25K,0,F1
10052057,MINNESOTA,1952,June,Tornado,C,COTTONWOOD,0,0,0,0,2.5M,0,F2
10052058,MINNESOTA,1952,June,Tornado,C,BROWN,5,0,0,0,2.5M,0,F2
10052059,MINNESOTA,1952,June,Tornado,C,NICOLLET,0,0,0,0,2.5M,0,F2
10052060,MINNESOTA,1952,June,Tornado,C,HENNEPIN,5,0,0,0,2.5M,0,F2
10052061,MINNESOTA,1952,June,Tornado,C,LE SUEUR,6,0,0,0,2.5M,0,F2
10052062,MINNESOTA,1952,June,Tornado,C,ANOKA,9,0,0,0,2.5M,0,F2
10052063,MINNESOTA,1952,July,Tornado,C,GRANT,0,0,0,0,25K,0,F1
10052064,MINNESOTA,1952,July,Tornado,C,AITKIN,0,0,0,0,25K,0,F2
10052065,MINNESOTA,1952,July,Tornado,C,FREEBORN,4,0,0,0,25K,0,F2
10052066,MINNESOTA,1952,August,Tornado,C,STEVENS,0,0,0,0,25K,0,F1
10063629,MISSOURI,1952,March,Tornado,C,ST. FRANCOIS,1,0,0,0,25K,0,F2
10063630,MISSOURI,1952,March,Tornado,C,STE. GENEVIEVE,0,0,0,0,25K,0,F2
