EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10032645,LOUISIANA,1950,May,Tornado,C,GRANT,0,0,0,0,250K,0,F1
10032646,LOUISIANA,1950,May,Tornado,C,WINN,1,0,0,0,250K,0,F1
10032647,LOUISIANA,1950,May,Tornado,C,CATAHOULA,5,0,1,0,250K,0,F2
10032648,LOUISIANA,1950,May,Tornado,C,AVOYELLES,0,0,0,0,25K,0,F1
10032649,LOUISIANA,1950,May,Tornado,C,DE SOTO,13,0,0,0,25K,0,F1
10032650,LOUISIANA,1950,May,Tornado,C,SABINE,0,0,0,0,25K,0,F1
10028675,KANSAS,1950,July,Tornado,C,ALLEN,0,0,0,0,0K,0,F1
10028676,KANSAS,1950,August,Tornado,C,RAWLINS,0,0,0,0,25K,0,F1
10028673,KANSAS,1950,July,Tornado,C,SCOTT,0,0,0,0,2.5M,0,F2
10028674,KANSAS,1950,July,Tornado,C,MARSHALL,0,0,0,0,25K,0,F1
10009714,ILLINOIS,1950,June,Tornado,C,CARROLL,0,0,0,0,25K,0,F1
10009715,ILLINOIS,1950,July,Tornado,C,LIVINGSTON,0,0,0,0,25K,0,F1
10009716,ILLINOIS,1950,December,Tornado,C,MADISON,0,0,0,0,25K,0,F2
10009717,ILLINOIS,1950,December,Tornado,C,MACOUPIN,3,0,1,0,25K,0,F2
10009718,ILLINOIS,1950,December,Tornado,C,MADISON,0,0,0,0,2.5M,0,F3
10009719,ILLINOIS,1950,December,Tornado,C,BOND,25,0,2,0,2.5M,0,F3
10009720,ILLINOIS,1950,December,Tornado,C,RANDOLPH,0,0,0,0,25K,0,F1
